Strategy,Scenario,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,Yen Carry Trade Panic (Aug 2024),0.2995415852739244,0.23706419700157172,1.2635462843507257,1.738754227667229,-0.06563917547850427,11,-0.023267592915579664,-0.030092592915579666
LASSO_LS,Yen Carry Trade Panic (Aug 2024),0.57514085895166,0.11490536215378663,5.005343947151092,10.805648407343183,-0.02016827233369424,4,-0.00823985194986945,-0.010668279326786052
LASSO_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.17004841580633676,0.0022734423833103714,-74.79776793759267,-74.79776793759267,-0.010044610082257651,15,-0.0009270202919188322,-0.0009270202919188323
ElasticNet_LS,Yen Carry Trade Panic (Aug 2024),0.57514085895166,0.11490536215378663,5.005343947151092,10.805648407343183,-0.02016827233369424,4,-0.00823985194986945,-0.010668279326786052
ElasticNet_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.17004841580633676,0.0022734423833103714,-74.79776793759267,-74.79776793759267,-0.010044610082257651,15,-0.0009270202919188322,-0.0009270202919188323
RF_LS,Yen Carry Trade Panic (Aug 2024),0.2634212347893543,0.14642645485333575,1.7990002903041211,2.761604752600824,-0.0361620504157066,10,-0.01157434488150019,-0.017654387876242492
RF_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.27384478462086154,0.00571331540606271,-47.93097617720701,-47.93097617720701,-0.016262148696601086,15,-0.0016582413670345319,-0.0017415450338198646
XGB_LS,Yen Carry Trade Panic (Aug 2024),-0.262100113262121,0.08738408542524724,-2.9994032893590754,-5.005415853819555,-0.024779917111123245,15,-0.008770035903893397,-0.010446622088499852
XGB_LS_StopLoss,Yen Carry Trade Panic (Aug 2024),-0.2190309718761125,0.007620849774096412,-28.741016864104573,-28.741016864104573,-0.012756746998145881,15,-0.0016304734781060876,-0.0017415450338198646
LSTM_LS,Yen Carry Trade Panic (Aug 2024),-0.18381732372774595,0.131659413605154,-1.3961578492139823,-1.6586482255510744,-0.03419282302938855,15,-0.013252859377562104,-0.02193954174245349
