Horizon,Features,Model,Accuracy,Daily_IC,ICIR,Long_Return,Long_Sharpe,Long_MaxDD,Short_Return,Short_Sharpe,Short_MaxDD,Long_Return_TPSL,Long_Sharpe_TPSL,Short_Return_TPSL,Short_Sharpe_TPSL
1d,80,LASSO,0.5207499083796479,0.021119228832641772,2.0088715623151625,0.04188368888473378,0.160708112858017,-0.4381904849249288,-0.12349424256567723,-0.44573295513997263,-0.622532237622721,0.40704781255118977,2.4629143583215534,0.2642798100763847,1.6096981444000966
1d,80,Elastic Net,0.5209852634127152,0.021681618102653392,2.0003712708846733,0.04631490774555161,0.17983022729778791,-0.4160689181656944,-0.12551988874825964,-0.44380969083940186,-0.6365936361030092,0.40793747933423746,2.459244812090704,0.2598033034626845,1.5742214859521089
1d,80,Random Forest,0.517120397548273,0.01393724102387962,1.318807599155285,0.008482736211557169,0.03569352486037499,-0.35638728609480574,-0.12068605941305516,-0.43661316051978133,-0.5625746753074856,0.36307804467296856,2.287632931671517,0.26687524374392985,1.689656838912193
1d,80,XGBoost,0.5142709205407786,0.013389721190302493,1.1163095881306058,0.05250078822140503,0.20161962403936187,-0.41399828857642845,-0.11276357266415316,-0.4571342647767771,-0.5233510310204129,0.4404954541712994,2.593221418331572,0.23208745836734876,1.5114041720809193
1d,80,Transformer,0.5232766127703641,0.017922592556691704,1.3176063636125803,0.11682980895162033,0.4881897064099915,-0.3536631582195102,0.013294325812280575,0.0377190011038387,-0.6054497378584408,0.4420449705255208,2.656833183895986,0.4897060486692403,2.6348257169814775
1d,80,LASSO Regressor,0.47814728517969357,,0.0,0.1313121897587571,0.5488621877711702,-0.3754930412333048,0.06977878555912782,0.29794710515422174,-0.41944922703098414,0.48628274259553417,3.0862456270000074,0.39517618487649625,2.614876601730142
1d,80,Elastic Net Regressor,0.4949566778628418,0.013045065052332477,1.0621125602785764,0.0961475268325066,0.3681816489030387,-0.4081178464518668,0.008209621773019584,0.029905202940550372,-0.3850788704066055,0.5066523653896685,2.9831628296902335,0.3164582128864369,1.9702036859709755
1d,80,Random Forest Regressor,0.49563080192184195,0.008902096626509027,0.8309771935628399,0.06693719325565943,0.20075014784691117,-0.5238463723410167,-0.0700502791690781,-0.24533008443126894,-0.5257995683120591,0.6421928879012441,3.4423216594801747,0.29498849184739495,1.8587588924310554
1d,80,XGBoost Regressor,0.4939328834689987,0.009355328536830144,0.8113922585121248,0.09746148336285275,0.3095359351717118,-0.5014638710461963,-0.058276971983982455,-0.2234627951258122,-0.4603509645532519,0.6307721573754431,3.348148267847421,0.266460710396512,1.7997875738093039
1d,80,Transformer Regressor,0.5113861402783242,0.006706981163603585,0.7775561322751079,0.000316100709914576,0.0013423961442435494,-0.4287080337367305,-0.03937561394301193,-0.14887223402572192,-0.4378813733529868,0.35610751298080934,2.3336324480853112,0.3599645197422212,2.1573679459032182
21d,11,LASSO,0.49609765538966716,0.008561402467335959,0.6349275484339685,0.17750222245591488,0.571570208555068,-0.41943641746731425,-0.019219508294488218,-0.10648774242373128,-0.3463293564925692,0.6748831446124149,3.5600394674826443,0.2027413792635047,1.6118466297374145
21d,11,Elastic Net,0.49567585244905993,0.008459070762642537,0.6330689837086968,0.16549634016476641,0.5353049048996401,-0.4199445727756672,-0.014635135007156177,-0.08067713000039684,-0.34531312833417555,0.6645141597583032,3.509704478580029,0.2055972802244018,1.6223120543759737
21d,11,Random Forest,0.48173900275640213,0.013412117546012927,1.3194594253331284,0.06692215691653693,0.274687018863309,-0.4008904030634436,0.027197251697895938,0.09304416310939363,-0.46015895147747365,0.37254136309088215,2.3683181858046636,0.5463497400958635,3.1305411506468763
21d,11,XGBoost,0.4803854958520486,0.012046409924412683,1.1404439763312546,0.08538677395819898,0.37053847528145706,-0.3858736956541929,0.04656284113453675,0.1599940862212227,-0.4637635777844056,0.39917892895846385,2.5369267528070996,0.5590593362326489,3.1839900419562066
21d,11,Transformer,0.4825105283882723,0.013680959321626893,0.9649982802235936,0.12750495469390766,0.6309505372756318,-0.3180297964969574,0.0995798176840536,0.34422285590473434,-0.46377625439497555,0.3596360847899853,2.5022064199394736,0.5600533169926893,3.139802006871983
21d,11,LASSO Regressor,0.47830451235709087,0.0039047582719696954,0.27277696068048796,0.1811174760020478,0.5695344137561266,-0.5009108693057517,0.03825005041183546,0.19013448359271917,-0.33606147459824376,0.6506952784515606,3.621080133505501,0.2962908634059538,2.1400598535079687
21d,11,Elastic Net Regressor,0.47806958413700584,0.002739674350180936,0.18344039810465798,0.17140372243196805,0.5314818746430066,-0.5028540197929857,0.054762004449255636,0.26927277111145775,-0.338860911841837,0.6317282274185868,3.417567217203319,0.3137872682567748,2.242303677498454
21d,11,Random Forest Regressor,0.4807739283068483,0.0030248676262723912,0.2914771397979184,0.06964282901447748,0.1974173883949115,-0.6080611696198863,0.03723893490413857,0.14264754372319913,-0.3907999839172398,0.5909060477749825,3.1086822329589046,0.46205255423452946,2.7550694750174642
21d,11,XGBoost Regressor,0.47751563407260084,0.003306821216559189,0.26460473521723127,0.09334178290513805,0.2619681477344388,-0.6202032978541584,0.04612026806692989,0.20075450223488078,-0.3451655880072602,0.6085447519696309,3.159049417025795,0.40167362940115015,2.6139792130784207
