Horizon,Features,Model,Accuracy,ROC_AUC,Daily_IC,ICIR,Ann_Return,Sharpe,MaxDD
1d,80,Random Forest Regressor,0.49563080192184195,0.49573838123568714,0.008902096626509027,0.8309771935628399,-0.0700502791690781,-0.24533008443126894,-0.5257995683120591
1d,80,XGBoost Regressor,0.4939328834689987,0.5022787439597624,0.009355328536830144,0.8113922585121248,-0.058276971983982455,-0.2234627951258122,-0.4603509645532519
1d,80,Transformer Regressor,0.5113861402783242,0.5037441942009084,0.006706981163603585,0.7775561322751079,-0.03937561394301193,-0.14887223402572192,-0.4378813733529868
21d,Benchmark,S&P 500,0.5,0.5,0.0,0.0,0.1209213171844148,0.5735896803149577,-0.34067465891002435
21d,11,LASSO,0.49609765538966716,0.5053210293951018,0.008561402467335959,0.6349275484339685,-0.019219508294488218,-0.10648774242373128,-0.3463293564925692
21d,11,Elastic Net,0.49567585244905993,0.5052054633202381,0.008459070762642537,0.6330689837086968,-0.014635135007156177,-0.08067713000039684,-0.34531312833417555
21d,11,Random Forest,0.48173900275640213,0.5075575935382186,0.013412117546012927,1.3194594253331284,0.027197251697895938,0.09304416310939363,-0.46015895147747365
21d,11,XGBoost,0.4803854958520486,0.5066791305292906,0.012046409924412683,1.1404439763312546,0.04656284113453675,0.1599940862212227,-0.4637635777844056
21d,11,Transformer,0.4825105283882723,0.5088388406285451,0.013680959321626893,0.9649982802235936,0.0995798176840536,0.34422285590473434,-0.46377625439497555
21d,11,LASSO Regressor,0.47830451235709087,0.5080299228610293,0.0039047582719696954,0.27277696068048796,0.03825005041183546,0.19013448359271917,-0.33606147459824376
21d,11,Elastic Net Regressor,0.47806958413700584,0.5070168851256921,0.002739674350180936,0.18344039810465798,0.054762004449255636,0.26927277111145775,-0.338860911841837
21d,11,Random Forest Regressor,0.4807739283068483,0.5046139922318374,0.0030248676262723912,0.2914771397979184,0.03723893490413857,0.14264754372319913,-0.3907999839172398
21d,11,XGBoost Regressor,0.47751563407260084,0.5081466159448202,0.003306821216559189,0.26460473521723127,0.04612026806692989,0.20075450223488078,-0.3451655880072602
21d,11,Transformer Regressor,0.4826413406926378,0.5010443003056094,-0.0011587750853047614,-0.07965502414613759,0.08498422343624333,0.41405819158805696,-0.3314072627273743
21d,50,LASSO,0.48038651382772496,0.5093843486591184,0.017949540694447465,1.3546872896467723,0.029567623719240686,0.08456954219108596,-0.5897102147361349
21d,50,Elastic Net,0.4808630042517607,0.5093478034005731,0.017687132482190712,1.365432758072309,0.023594244100843605,0.06814024945317357,-0.5888266445583016
21d,50,Random Forest,0.4936291465527072,0.5054832780800882,0.011465240459903128,1.0317326111052862,-0.06703152399859681,-0.2318320691747582,-0.5057693254882607
21d,50,XGBoost,0.49396309710630487,0.5037668500665354,0.010565283138293743,0.941852975982288,-0.025443265058054,-0.0825279822726385,-0.5415528201247961
21d,50,Transformer,0.4807706927166199,0.5081489049138295,0.017231772764584544,1.4493710023773596,0.03927905591953143,0.1278839579165814,-0.4543226479764435
21d,50,LASSO Regressor,0.47908464967772413,0.5047609132116074,0.0065549657917321515,0.4797490239423314,0.017928870352205816,0.07866393418356926,-0.3430737038087183
21d,50,Elastic Net Regressor,0.4782918564935735,0.5047720237662547,0.008674392683166825,0.6472701217659618,0.00918089780321518,0.039602074420042245,-0.3614582284112583
21d,50,Random Forest Regressor,0.4924250240281496,0.506660463803024,0.012717837978963855,1.0480753046233626,-0.08551365353368959,-0.29436334012541376,-0.5159412045569961
21d,50,XGBoost Regressor,0.48545007303471455,0.5076172821470947,0.004833999296946736,0.37050896662929195,-0.0033259890893183,-0.011241587539255875,-0.5292128527135124
21d,50,Transformer Regressor,0.47722755879430273,0.5033003804390357,0.005645972264927032,0.4266988295964814,-0.04192470225459337,-0.200749783676554,-0.4202654110822546
21d,80,LASSO,0.48128053572038676,0.5119290635436491,0.021864079259750004,1.668140378837271,-0.0226790436687838,-0.06453098377450335,-0.6204278702777403
21d,80,Elastic Net,0.48547097611807716,0.5111896285206878,0.01869098702937204,1.684197319745018,-0.0225442942922615,-0.07229242547514522,-0.5097782610143354
21d,80,Random Forest,0.493554614096826,0.5051074110768372,0.017491454462831908,1.8031515236531757,-0.039727140444988984,-0.12475973841826862,-0.5721195526916687
21d,80,XGBoost,0.4931634152174656,0.504737628494367,0.016223471988708844,1.6699685568573615,-0.011584049146434482,-0.038268464151621384,-0.4725231906321743
21d,80,Transformer,0.4800249410639243,0.5092756338272636,0.0219889209910607,1.65032273063245,0.04105746380656202,0.11761309226916804,-0.5947836473763555
21d,80,LASSO Regressor,0.47683555980730463,0.5094649750529525,-0.002504083775787063,-0.2424065800000946,0.0881671853241112,0.3802732534502429,-0.4194019920208771
21d,80,Elastic Net Regressor,0.47683555980730463,0.5117203701003921,0.020842315226753994,2.057252994470052,0.07326755620132006,0.26659908596504733,-0.4693756635658855
21d,80,Random Forest Regressor,0.4923741842905463,0.502706725155494,0.011196385489385003,0.9807645394423198,-0.003932796930712909,-0.013349380631398853,-0.4881128289200324
21d,80,XGBoost Regressor,0.4910895486692405,0.5039026741778573,0.011753203565440329,1.1456083166995075,-0.06795009600820143,-0.24641305950186754,-0.4819078549430578
21d,80,Transformer Regressor,0.4844186682155181,0.5059609321792128,0.00553932180357493,0.5088066327110041,0.015636093905683622,0.0679738787773873,-0.42085723912690043
